Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Lukáš Haraslín;24;333;0;0;1;1;0;5;1000;704;90;120;170;30;120;40;143;2020-2021;Sassuolo;Italy;Slovakia;Forward
Luuk de Jong;29;1268;4;0;3;0;28;11;2610;746;120;90;250;10;130;140;191;2020-2021;Sevilla;Spain;Netherlands;Forward
Lyanco;23;1959;0;0;8;0;0;3;10780;864;40;640;130;10;720;1020;78;2020-2021;Torino;Italy;Brazil;Defender
Lys Mousset;24;296;0;0;0;0;0;2;400;800;30;30;40;0;0;10;0;2020-2021;Sheffield Utd;England;France;Forward
László Bénes;22;660;1;1;3;0;27;3;1740;659;90;190;230;10;160;40;83;2020-2021;Augsburg;Germany;Slovakia;Midfielder
László Bénes;22;150;0;1;0;0;6;0;800;727;40;50;60;20;100;20;143;2020-2021;M'Gladbach;Germany;Slovakia;Midfielder
Léo Duarte;24;19;0;0;0;0;0;0;130;1000;0;0;0;0;10;0;30;2020-2021;Milan;Italy;Brazil;Defender
Léo Sena;24;885;0;0;0;0;0;0;5320;884;20;630;180;10;370;80;125;2020-2021;Spezia;Italy;Brazil;Midfielder
M'Bala Nzola;23;1896;11;3;5;0;66;14;4090;850;200;110;480;70;180;190;108;2020-2021;Spezia;Italy;Angola;Forward
M'Baye Niang;25;422;1;0;0;0;21;2;570;679;0;10;30;0;20;40;167;2020-2021;Rennes;France;Senegal;Forward
Mads Pedersen;23;887;0;0;1;0;0;0;2970;704;120;180;190;10;480;280;47;2020-2021;Augsburg;Germany;Denmark;Defender
Mahamadou Doucouré;20;45;0;0;0;0;0;0;100;769;0;0;0;0;20;0;10;2020-2021;Nîmes;France;Mali;Forward
